ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4459;72;2012;1;11;12;12.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;756555,7671;1426117,59;24;755435,9727;1429823,737;3,52;12,48;762623,1384;1421539,971;781699,524;1451626,726;783689,2717;1455321,715
4460;73;2012;2;11;13;13.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;856863,6264;1431321,62;24;859118,4576;1445635,248;0,48;14,88;850054,1799;1412610,987;883582,4835;1445419,873;885831,5654;1449099,063
4461;74;2012;3;11;14;14.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;913512,6568;1507511,95;24;926005,4012;1541862,058;-0,4;16,66;895943,0212;1532376,04;932037,0255;1547531,804;934409,4441;1551470,91
4462;75;2012;4;11;15;15.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;860989,1576;1446170,81;24;884642,5368;1457577,502;1,2;14,32;871706,1496;1444338,826;893609,9597;1459351,315;895884,5657;1463065,966
4463;76;2012;5;11;16;16.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;963318,7046;1530542,83;24;978979,477;1580023,512;-1,26;21,02;958583,4916;1577757,625;974884,7822;1579667,851;977366,2661;1583688,757
4464;77;2012;6;11;17;17.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;869887,0985;1284045,86;24;916135,673;1337645,999;1,14;19,42;892354,1995;1358475,766;903922,397;1346263,734;906223,2523;1349690,53
4465;78;2012;7;11;18;18.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;675731,025;1139911,85;24;728576,8812;1180454,206;5,64;15,4;731598,6546;1187260,074;721648,6811;1176344,576;723485,5746;1179338,858
4466;79;2012;1;12;19;19.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;780750,5204;1495064,72;24;817428,0702;1540862,683;7,92;16,06;822652,1954;1552973,878;811567,0605;1524088,655;813632,8335;1527968,09
4467;80;2012;2;12;20;20.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;882125,5536;1510981,26;24;925806,6768;1546485,434;4,96;16,04;939315,0596;1551720,971;914315,91;1525016,893;916643,2211;1528898,69
4468;81;2012;3;12;21;21.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;890338,3923;1495540,04;24;923442,1422;1523897,954;2,6;17,8;928221,1704;1540533,338;906201,114;1516524,204;908507,7696;1520384,383
4469;82;2012;4;12;22;22.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;830281,9518;1376581,22;24;841421,2222;1413303,291;2,44;19,5;855543,2306;1397394,117;841347,3568;1383440,534;843488,9329;1386961,96
